id;nombre;descripcion;telefono_negocio;numero_puestos;tarifa;fotografia;fotografia_content_type;mpuesto
1;Paradigm solid state;systematic;Synergized generate;46173;18610;../data/blob/hipster.png;image/png;IVA6
2;panel deposit;circuit;District 1080p;702;76551;../data/blob/hipster.png;image/png;IVA0
3;Wooden unleash;withdrawal Solutions Gorgeous Steel Car;Computers;27571;24697;../data/blob/hipster.png;image/png;IVA19
4;Engineer;index Summit;actuating Shoes TCP;4650;6265;../data/blob/hipster.png;image/png;IVA0
5;groupware navigate;Future;alarm;54832;96339;../data/blob/hipster.png;image/png;IVA6
6;streamline navigating open-source;sensor Strategist;Metal;72515;19809;../data/blob/hipster.png;image/png;IVA0
7;utilisation Communications;e-business Steel Fish;ROI;8884;85061;../data/blob/hipster.png;image/png;IPOCONSUMO8
8;innovate Bahrain wireless;Namibia Intelligent;indexing initiatives;14095;94569;../data/blob/hipster.png;image/png;ICO
9;AI Ports;Finland Licensed Granite Computer cross-platform;Associate neural;49725;20136;../data/blob/hipster.png;image/png;IVA0
10;input;Andorra yellow SMTP;Pizza Enterprise-wide Division;56018;98498;../data/blob/hipster.png;image/png;ICO
