id;nombre;descripcion;valor_minimo;valor_maximo
1;archive Legacy;Forward;43402;86131
2;navigating;system Industrial;58945;22917
3;New Zealand Nakfa;microchip Handcrafted gold;87747;5001
4;Lead Computers sticky;analyzing;24755;91116
5;bleeding-edge;program Home Loan Account;67287;59480
6;productize;programming;80509;38328
7;Cambridgeshire interactive digital;Home Loan Account compress;73791;98765
8;actuating navigate;Dynamic South Carolina;53833;33360
9;PCI;Internal deposit neural;45434;41133
10;AGP payment;supply-chains relationships deposit;93628;78398
